Name,Link,Cuisine BERT,Cuisine Keywords,Keyword Score,BERT Score,Final Cuisine,Certainty,Final Score,Google Type Cuisine,Keyword Hits,Google Name,Rating,Total Ratings,Google Address,Place ID,Types,Price Level,Google Website,Phone Number,Opening Hours
Brasserie de Canette,https://cas.haarlemtoday.nl/firm/brasserie-de-canette/,French,French (5),5,0.2045652419,French,LOW,0.1283,None,baguette,Brasserie de Canette,4.4,489,"Binnenweg 110, 2101 ZA Heemstede",ChIJA_LMLWjpxUcR-MfgPcDXj9Y,"restaurant, food, point_of_interest, establishment",$$,http://www.brasseriedecanette.nl/,023 822 4170,"Monday: 11:00 AM – 5:00 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 10:00 PM"
Cafe De Lange Heer,https://cas.haarlemtoday.nl/firm/cafe-de-lange-heer/,German,German (5),5,0.1243423447,German,LOW,0.0809,None,beer,Cafe de Lange Heer,4.5,347,"Lange Herenstraat 6, 2011 LH Haarlem",ChIJrWx8l23vxUcRoX-bU5cFhyw,"bar, restaurant, point_of_interest, food, establishment",$,https://delangeheer.nl/,023 785 0303,"Monday: 4:00 PM – 2:00 AM, Tuesday: 4:00 PM – 2:00 AM, Wednesday: 4:00 PM – 2:00 AM, Thursday: 4:00 PM – 2:00 AM, Friday: 4:00 PM – 4:00 AM, Saturday: 4:00 PM – 4:00 AM, Sunday: Closed"
Blend Haarlem,https://cas.haarlemtoday.nl/firm/blend-haarlem/,French,None,0,0.2001873404,French,LOW,0.1201,None,,Blend,4.2,497,"Kleine Houtstraat 138, 2011 DS Haarlem",ChIJf68wz0HvxUcRm_MOoNg6xOo,"cafe, restaurant, point_of_interest, food, store, establishment",$$,http://www.blendhaarlem.nl/,023 744 0700,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM"
The Governor,https://cas.haarlemtoday.nl/firm/the-governor/,Indonesian,None,0,0.1486434937,Indonesian,LOW,0.0892,None,,The Governor,4.3,263,"Oude Groenmarkt 18, 2011 HL Haarlem",ChIJpS8WGlPvxUcR7wLVnJmTFTs,"restaurant, food, point_of_interest, establishment",,https://governorhaarlem.nl/,023 512 5309,"Monday: 5:00 PM – 12:00 AM, Tuesday: 5:00 PM – 12:00 AM, Wednesday: 5:00 PM – 12:00 AM, Thursday: 5:00 PM – 12:00 AM, Friday: 12:00 PM – 2:00 AM, Saturday: 12:00 PM – 2:00 AM, Sunday: 12:00 PM – 12:00 AM"
Restaurant Éclusier,https://cas.haarlemtoday.nl/firm/restaurant-eclusier/,French,None,0,0.2445168048,French,LOW,0.1467,None,,Restaurant Éclusier,5,67,"Kerkplein 16A, 2061 JD Bloemendaal",ChIJJWfVep3vxUcRnSgJySS6LHM,"restaurant, food, point_of_interest, establishment",,https://restauranteclusier.nl/?fbclid=PAZXh0bgNhZW0CMTEAAaaTmnGVAHlr0sOq2ztSKh39reENMim9Znw7rKvUivx_qMs-ArOI45pR-W4_aem_AXIuGvUZVm8pcLPFMdIIiYYvcZ_Zg5xP_GM0lBhfl8fKAZVespNJ6CnNMqDx6LjAl8ccegaXSbh2-h7WAD8V-a2S,023 785 8546,"Monday: Closed, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 10:00 PM, Saturday: 12:00 – 10:00 PM, Sunday: 12:00 – 10:00 PM"
Southern Cross,https://cas.haarlemtoday.nl/firm/southern-cross/,Italian,None,0,0.2538305521,Italian,LOW,0.1523,None,,Southern Cross,4.7,451,"Zandvoortselaan 24, 2106 CP Heemstede",ChIJY9zlfi3vxUcRv0r1roNFLRE,"restaurant, food, point_of_interest, establishment",$$,http://www.southern-cross.nl/,023 521 9992,"Monday: Closed, Tuesday: Closed, Wednesday: 6:00 – 11:00 PM, Thursday: 6:00 – 11:00 PM, Friday: 6:00 – 11:00 PM, Saturday: 6:00 – 11:00 PM, Sunday: Closed"
Brasserie van Beinum,https://cas.haarlemtoday.nl/firm/van-beinem/,German,German (5),5,0.1745327413,German,LOW,0.111,None,beer,Brasserie van Beinum,4.2,735,"Klokhuisplein 3, 2011 HK Haarlem",ChIJwdh9X2nvxUcRmYuhCOpdQ2k,"restaurant, food, point_of_interest, establishment",$$,https://brasserie-vanbeinum.nl/,023 542 2559,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 1:00 AM, Friday: 12:00 PM – 1:00 AM, Saturday: 12:00 PM – 1:00 AM, Sunday: 12:00 PM – 12:00 AM"
Restaurant Rood,https://cas.haarlemtoday.nl/firm/restaurant-rood/,French,None,0,0.1950105727,French,LOW,0.117,None,,Restaurant ROOD,4.7,80,"Gedempte Oude Gracht 11, 2011 GK Haarlem",ChIJXasmaunvxUcRUVbtJ6o-tl8,"restaurant, food, point_of_interest, establishment",,https://www.roodhaarlem.nl/,023 844 8469,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 11:00 PM"
Guus Koffie,https://cas.haarlemtoday.nl/firm/guus-koffie/,Indonesian,None,0,0.2312204093,Indonesian,LOW,0.1387,None,,GUUS Koffie,4.8,83,"Wagenweg 144, 2012 NK Haarlem",ChIJeX8WcVHvxUcRRGyhJpQGyc4,"cafe, store, food, point_of_interest, establishment",,https://www.baristacursus.nl/,06 46613170,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: 8:30 AM – 3:00 PM, Saturday: Closed, Sunday: Closed"
Toko SamaSama,https://cas.haarlemtoday.nl/firm/toko-samasama/,Indonesian,Indonesian (28),28,0.3921052217,Indonesian,LOW,0.2634,None,"soto ayam, perkedel, sambal, indonesian, indonesian cuisine, indonesian food",Toko samasama,4.5,92,"Zijlweg 82, 2013 DL Haarlem",ChIJ6xk9fgDvxUcRMPUhJhntLKI,"restaurant, food, point_of_interest, establishment",,https://www.tokosamasama.nl/,023 785 6944,"Monday: Closed, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 10:00 PM"
